AppID,Nombre,Tipo,Desarrollador,Editor,FechaSalida,Genero,Categoria,Gratis,Plataforma,Popularidad,TamanoGB,SoporteMods,FrecuenciaActualizaciones,ComprasEnLaApp
2429340,Valley of The Savage Run,game,No Six Five,No Six Five,"29 Aug, 2023",Adventure,Single-player,Si,windows,8493,63,No,Semanal,No
2429360,The Sandwich Making Experience,game,Bendy Bananas Creative LLC,Bendy Bananas Creative LLC,"26 Jun, 2023",Adventure,Single-player,No,linux,4268,23,Si,Mensual,Si
2429480,Gotchaball,game,Gimma Games,Gimma Games,Q1 2025,Casual,Co-op,No,linux,4281,95,Si,Diario,No
2429380,淤積的祈禱（Silted Prayer）,game,Seventeen horns,Seventeen horns,"4 Nov, 2023",Casual,Single-player,No,windows,6848,84,No,Diario,No
2429450,Woodcutter,game,NurLab,NurLab,"29 May, 2023",Action,Local Multi-Player,No,linux,1976,15,No,Diario,Si
2429420,SOLIVAGANT,game,"Myrha, Roody, Batty",OL Software,2025,RPG,Multi-player,No,linux,5675,19,Si,Semanal,Si
2429440,Store Story,game,foolsroom,foolsroom,To be announced,Strategy,Online Multi-Player,No,windows,2690,81,Si,Anual,Si
2429410,NightHover,game,CoolExGames,CoolExGames,"27 May, 2023",Casual,Co-op,No,windows,5610,86,Si,Diario,Si
2429500,이세계메이드 / 외전소설,dlc,Clearbox co,Clearbox co,"10 Jun, 2023",Action,Local Multi-Player,No,windows,5881,76,No,Diario,No
2429490,Nextbots In The Backrooms,game,Performance Artist,Performance Artist,"2 Jun, 2023",RPG,Single-player,No,linux,407,7,Si,Mensual,Si
2429501,이세계메이드 / ASMR 과 모닝콜,dlc,Clearbox co,Clearbox co,"10 Jun, 2023",Strategy,Online Multi-Player,No,mac,5224,52,No,Mensual,Si
2429530,Crystal Tower Defense,game,Hot Roof Studios,Hot Roof Studios,"19 Jul, 2023",Strategy,Single-player,No,linux,8640,61,No,Diario,No
2429550,Solar Showdown OST,music,Nate Williams,BYU Center for Animation,"14 Jun, 2023",Strategy,Multi-player,Si,linux,7293,30,No,Mensual,Si
2429540,Harmonis: the hand-made kingdoms,game,Catvin Catowsky,Catvin Catowsky,"25 Jul, 2024",Strategy,Single-player,No,windows,3021,33,No,Anual,Si
2429560,Not Involved Demo,demo,Stray Feet,Stray Feet,"6 Jun, 2023",RPG,Co-op,Si,mac,9033,54,No,Mensual,No
2429580,Gate One,game,Eternal Games,Eternal Games,"12 Jul, 2023",Action,Local Multi-Player,No,windows,938,73,Si,Mensual,No
2429590,Caislean: Paranormal,game,yosheDev,yosheDev,"3 Jun, 2023",Adventure,Single-player,Si,windows,669,92,Si,Semanal,No
2429600,Herdles,game,"One More Journey Studios, Fire Sword Studios","One More Journey Studios, Fire Sword Studios",To be announced,Indie,Local Multi-Player,No,windows,8550,62,Si,Semanal,Si
2428680,Infernal Apocalypse: Rise of the Underworld,game,Leonid Bazhanov,Leonid Bazhanov,Coming soon,Adventure,Local Multi-Player,No,mac,9627,51,No,Diario,Si
2428690,Neon Parkour 2,game,Aquila Games,Aquila Games,"6 Jul, 2023",Casual,Online Multi-Player,No,linux,4043,62,Si,Diario,No
2428700,Fallen Light,game,Vyvex Games,Vyvex Games,To be announced,Casual,Online Multi-Player,No,windows,2244,34,No,Anual,No
2428730,SWAT Commander: Prologue,game,"Red Mountain Games, Ritual Interactive",Ritual Interactive,2025,Adventure,Multi-player,Si,linux,8820,79,Si,Semanal,No
2428760,FRONT MISSION 1st: Remake Demo,demo,Forever Entertainment S. A.,Forever Entertainment S. A.,"31 May, 2023",Action,Online Multi-Player,Si,windows,4774,18,No,Semanal,No
2428830,Butterfly//Circuit Demo,demo,WireWARE,WireWARE,"9 Jun, 2023",Action,Local Multi-Player,Si,linux,523,59,No,Semanal,Si
2428780,The Last Stand at Camp Zombie,game,Sweet Dreams Studio,Sweet Dreams Studio,"12 Feb, 2024",Adventure,Local Multi-Player,No,linux,4837,17,No,Mensual,Si
2428790,Des racines et des graines,game,"Sweet Dreams Studio, Marion Denmat, Guillet Anthony, Sylvain Kauffeisen, Manon Liénart",Sweet Dreams Studio,"4 Sep, 2023",Strategy,Co-op,Si,windows,2078,65,Si,Semanal,Si
2428880,Interactive Gun Range Beta,game,,,"7 Jul, 2023",RPG,Co-op,No,mac,8735,51,Si,Anual,No
2428900,Monster Museum - Mini Rasak,dlc,Akhir Pekan Studio,,"17 May, 2023",Indie,Online Multi-Player,No,windows,9391,51,No,Semanal,No
2428901,Monster Museum - Mini Napos,dlc,Akhir Pekan Studio,,"17 May, 2023",RPG,Single-player,No,windows,6436,1,No,Semanal,Si
2428940,Recordance,game,NICKPARSONS3D,NICKPARSONS3D,"24 Jul, 2023",Casual,Online Multi-Player,No,windows,9751,32,Si,Diario,Si
2428970,Pixel Kishi Demo,demo,N Studio,N Studio,Coming soon,Adventure,Single-player,Si,windows,9053,29,Si,Semanal,No
2429000,Liona's Adventure,game,"Peyman Hadizadeh, Keyvan Hadizadeh, Maria Nosouhian",Peyman Hadizadeh,Coming soon,Casual,Co-op,No,linux,2431,36,Si,Diario,Si
2428980,Bye Sweet Carole,game,"Little Sewing Machine, Meangrip Studios",Maximum Entertainment,2025,Action,Multi-player,No,linux,8094,15,Si,Anual,Si
2428960,The World's Hardest Game 3D Nostalgia,game,Batuhan Ertan,Batuhan Ertan,"3 Jun, 2023",Action,Co-op,No,linux,6578,50,No,Mensual,Si
2428990,Brothers in Hell,game,Moonsaurus Games,Moonsaurus Games,"3 Nov, 2023",Adventure,Local Multi-Player,No,linux,6571,20,No,Mensual,No
2429040,Lord Of Terror,game,SimulatedFantasy,SimulatedFantasy,"28 May, 2023",RPG,Local Multi-Player,No,mac,9196,27,No,Mensual,No
2429060,Lhama Clicker Demo,demo,Clicker Studios,Clicker,"12 Jun, 2023",RPG,Single-player,Si,linux,1931,91,No,Diario,No
2429070,Gentlemen's Puzzle Club,game,Luxe Haven Games,Luxe Haven Games,"13 Jun, 2023",RPG,Online Multi-Player,No,linux,9372,29,Si,Anual,No
2429090,Garden Buddies,game,JamPics,RedDeer.Games,"20 Oct, 2023",Indie,Co-op,No,linux,6031,32,Si,Diario,Si
2429110,Tom Clancy’s Rainbow Six® Extraction - HD Textures Pack,dlc,Ubisoft Montreal,Ubisoft,"11 Aug, 2023",RPG,Single-player,Si,linux,9749,46,No,Anual,Si
2429100,Homestar Runner: Halloween Hide n' Seek,game,Videlectrix,Videlectrix,"6 Aug, 2023",Casual,Multi-player,No,windows,6516,90,Si,Semanal,Si
2428200,Third Defender,game,Shape de Grilo,Shape de Grilo,Coming soon,RPG,Multi-player,No,windows,6067,34,No,Semanal,No
2428250,侠客春秋 Demo,demo,黑心小作坊,黑心小作坊,"11 May, 2023",Action,Local Multi-Player,Si,mac,3242,44,No,Anual,Si
2428230,OVERLODE: Battle over Azmonite,game,Ablizmo Games,Ablizmo Games,Q4 2024,RPG,Co-op,No,windows,73,29,No,Diario,Si
2428240,Your World VR - Multiplayer,dlc,Levich Games,Levich Games,"10 May, 2023",Adventure,Co-op,No,mac,5103,76,No,Mensual,No
2428260,Butterfly//Circuit,game,WireWARE,WireWARE,"1 Aug, 2024",Indie,Co-op,No,mac,5315,45,No,Anual,Si
2428320,Just Find It 2,game,Tiny Little Lion,Boomzap Inc,"11 Jul, 2023",Casual,Online Multi-Player,No,windows,940,37,No,Mensual,No
2428310,天行镖客 (Sky Escort),game,相对艺术 Relativity Art,Wise Games,"19 Jun, 2024",Indie,Online Multi-Player,No,windows,2188,28,No,Diario,No
2428350,Light Fingers Demo,demo,Numizmatic Games Corporation,Numizmatic Games Corporation,"8 Jun, 2023",Action,Single-player,Si,linux,8487,33,No,Anual,Si
2428390,NovaLight Z,game,AuraLite Games,,Coming soon,Indie,Single-player,No,linux,6394,16,Si,Semanal,No
2428370,Ponk's Jam: The Tulip Thief,game,Jamie Rowley,Ponk Games,"31 Oct, 2023",RPG,Co-op,No,linux,4457,63,No,Anual,No
2428410,Light of Coco,game,Amerosa Games,Amerosa Games,To be announced,Adventure,Multi-player,No,mac,1169,90,Si,Mensual,No
2428460,怪才俱乐部2-The Immortal Beloved2,game,橙光游戏,橙光游戏,"5 Jun, 2023",Action,Single-player,No,linux,2959,2,Si,Anual,Si
2428420,Umbraclaw,game,"INTI CREATES CO., LTD.","INTI CREATES CO., LTD.","30 May, 2024",Strategy,Multi-player,No,windows,3874,88,No,Semanal,Si
2428480,Irang : the last hope,game,SnoozyMonday,DCD,"20 Jul, 2023",Adventure,Local Multi-Player,No,windows,5289,23,Si,Diario,Si
2428470,"Stars, Stripes, and Subgames",game,Tiny Little Lion,Boomzap Inc,"22 Jun, 2023",RPG,Multi-player,No,mac,9688,73,Si,Anual,Si
2428490,Swimsuit Samurai,game,Cyber Scherzo Studios,Shady Corner Games,To be announced,Indie,Local Multi-Player,No,windows,2676,30,No,Semanal,No
2428520,Quest for Gold,game,Small Miracles,Small Miracles,To be announced,Adventure,Single-player,No,windows,423,13,Si,Anual,Si
2428540,"KOF XV DLC Character ""NAJD""",dlc,SNK CORPORATION,SNK CORPORATION,"8 Aug, 2023",RPG,Co-op,No,mac,6820,56,No,Diario,Si
2428560,Druidwalker Soundtrack,music,Līga Griķe,Coldwild Games,"15 Jun, 2023",Action,Online Multi-Player,No,mac,1921,64,No,Anual,No
2428600,Masquerade Kiss,game,UNICO INC.,Voltage Inc.,"3 Aug, 2023",RPG,Multi-player,No,mac,442,35,Si,Anual,No
2428640,Net Defender,game,3D Interactive Sthlm AB,3D Interactive Sthlm AB,"29 Sep, 2023",Adventure,Local Multi-Player,No,linux,4433,26,No,Diario,Si
2428620,Feeble Light,game,"Panda Indie Studio, Eastasiasoft Limited",Eastasiasoft Limited,"7 Jul, 2023",Casual,Co-op,No,windows,1038,47,No,Anual,Si
2428660,OpenFlower,game,WhornyBeeStudio,WhornyBeeStudio,"27 Jun, 2023",Adventure,Multi-player,No,windows,5121,33,No,Semanal,Si
2427770,Burger Cooking Simulator,game,Pickle Drugs,Pickle Drugs,"12 Jun, 2023",Action,Co-op,No,mac,7230,96,Si,Diario,Si
2427790,Goldilock One: The Mists of Jakaíra,game,Shed of Ideas,Shed of Ideas,Coming soon,RPG,Local Multi-Player,No,windows,6734,84,No,Anual,No
957922,Jigsaw Puzzle Pack - Pixel Puzzles Ultimate: Variety Pack 18,dlc,Pixel Puzzles,Pixel Puzzles,"11 May, 2021",Indie,Multi-player,No,mac,1519,60,Si,Diario,Si
1875470,Ninjas Against the Machines,game,Ome6a Games,Ome6a Games,"18 Feb, 2022",Casual,Co-op,No,mac,9453,74,Si,Semanal,No
1875520,Oscar's Paradise,game,BlueBranch,BlueBranch,To be announced,Strategy,Local Multi-Player,No,mac,5272,78,Si,Mensual,No
1875540,Aria,game,Endware,Endware,"11 Mar, 2022",Indie,Single-player,Si,windows,4688,47,Si,Mensual,Si
1875590,塔塔帝国,game,Huochairen Interactive Entertainment,Huochairen Interactive Entertainment,"21 Feb, 2022",RPG,Online Multi-Player,Si,windows,5096,11,Si,Diario,Si
1875530,Grim Tales: Graywitch Collector's Edition,game,Elephant Games,Big Fish Games,"25 Jan, 2022",Strategy,Single-player,No,linux,2115,60,Si,Diario,Si
1875550,The Ground Division Demo,demo,StarVerse Interactive,StarVerse Interactive,"28 Mar, 2022",Adventure,Multi-player,Si,windows,5039,46,No,Anual,No
1875560,Mare,game,Lonekite Games,Lonekite Games,"31 Mar, 2022",Strategy,Single-player,No,linux,2665,99,No,Semanal,Si
1875640,"CUSTOM ORDER MAID 3D2 Personality Pack Guarded, Blunt Girl",dlc,KISS,S-court,"31 Jan, 2022",Adventure,Single-player,No,linux,245,22,Si,Anual,Si
1875660,The Age of Navigation-Deluxe Edition,dlc,Changsha Upstream,Changsha Upstream,"9 Feb, 2022",Adventure,Co-op,No,mac,5391,79,No,Semanal,No
1875670,Gigant,game,UKZ Arts,PsychoFlux Entertainment,"12 Aug, 2022",Strategy,Co-op,No,mac,4202,5,No,Mensual,Si
1875690,Action Ball Demo,demo,Rionix,Rionix,"20 Jan, 2022",RPG,Online Multi-Player,Si,windows,7576,46,No,Mensual,Si
1875720,Zoo Tales,game,"Soein Studio, ChiEn, 十六椰子","Soein Studio, ChiEn","14 Apr, 2022",Strategy,Co-op,No,linux,572,78,Si,Diario,No
1875740,月夜赞歌 Melody in the moonlight Playtest,game,,,"11 Dec, 2023",Strategy,Single-player,No,linux,9997,72,Si,Diario,Si
1875710,PARACHUTER,game,PTL,PTL,"17 Feb, 2022",Indie,Co-op,No,mac,9137,42,Si,Diario,No
1875760,Gungrave G.O.R.E - Street Grave,dlc,"Iggymob Co. Ltd.,",Prime Matter,"4 Oct, 2024",Indie,Local Multi-Player,No,mac,4019,26,No,Semanal,Si
1875770,Tartaria: The forgotten tale,game,Pillars of Light Studios,Pillars of Light Studios,Coming soon,Strategy,Co-op,No,linux,3051,22,Si,Semanal,No
1875800,Cubytet,game,AP2 Games,AP2 Games,"21 Feb, 2022",RPG,Local Multi-Player,No,windows,4036,92,Si,Anual,Si
1875810,Slashers,game,HeadArrow,HeadArrow,"10 May, 2022",Action,Multi-player,No,windows,7976,52,Si,Anual,Si
1875840,Illusion OST,music,"Animalclaw Of Dreams, Refrigerator game lovers, Dream gear","Refrigerator game lovers , Jam Cafe, Dream gear","1 Mar, 2022",Indie,Multi-player,No,linux,424,70,No,Mensual,Si
1875850,Reds Adventure A Seasons New Beginning,game,CatCorp Studios,CatCorp Studios,"4 Feb, 2022",RPG,Multi-player,No,mac,2413,34,No,Anual,Si
1874930,JUST HOOPS Demo,demo,Realcast,Realcast,"4 Mar, 2022",Strategy,Co-op,Si,linux,8741,85,No,Mensual,No
1874950,Runner Party,game,Creartstudio,Creartstudio,"22 Dec, 2022",Casual,Multi-player,No,linux,7963,44,Si,Semanal,No
1874960,TrinityS - ORIGINAL SOUNDTRACK,music,Indie-us Games,Indie-us Games,"27 Apr, 2022",Action,Local Multi-Player,No,windows,6677,32,Si,Anual,Si
