AppID,Nombre,Tipo,Descripcion,Desarrollador,Editor,FechaSalida,Genero,Categoria,Lenguajes,Gratis,EdadRequerida,Moneda,PrecioInicial,Plataforma
1473760,Beyond the Storm,game,"Be NEARLY vaporized, crushed, blown to pieces, flame broiled, and electrocuted using your incredible targeting skills and class 1 fancy flying to keep you alive in this SHMUP that brings back the essence of the classic arcade shmups!",LeandroGabriel.net,LeandroGabriel.net,"3 Oct, 2022",RPG,Multi-player,English,No,0,USD,11.99,windows
1473790,Life of Ocean,game,"In《life of ocean》you will start from a desert island.you must do what you can to survive.when you dont need to worry about food or clothing, there are countless treasures waiting for you under the ocean.take the Treasure Map you found, camposs and shovel, become the richest adventurer!",Friedegg Game Studio,Friedegg Game Studio,Coming soon,Action,Local Multi-Player,English,No,0,Coming soon,Coming soon,windows
1473750,Tales of Finariel : Card based RPG,game,"Forge your destiny in Legends of Finariel, a card based hand-drawn RPG. Defeat monsters, gather items and develop new abilities to unlock all the cards you will need to become the best challenger Finariel has and will ever know.",Rockdev,Rockdev,Coming soon,Casual,Online Multi-Player,English,Si,0,Coming soon,0.00,windows
1473810,Erannorth Reborn - Underworld,dlc,"Expand your Erannorth experience with over 300 new Cards, 110 new Enemies, new Challenges and fresh Events.",Spyridon Thalassinos,Spyridon Thalassinos,"2 Feb, 2021",Strategy,Co-op,English,No,0,USD,7.99,linux
1473830,Space Colonizer,game,"Will you use the gravity of the planet or jump through a black hole? It’s up to you. Set an angle, speed and just watch how unsuspecting colonists fly through the space hoping, that they won’t end up flat as a pancake on some meteorite. Puzzle game with unique story will put your brain to the test.",Ugly Unicorn,Ugly Unicorn,"11 Feb, 2022",Adventure,Multi-player,English,No,0,USD,0.99,mac
1473820,Kitty Tactics,game,"A cute turn-based tactics game about growing stronger, making friends and conquering foes! Become a cat, expand your territory and reign supreme over your enemies through dynamic tactical combat!",Ibe Denaux,Ibe Denaux,"24 Feb, 2021",Indie,Multi-player,English,No,0,USD,3.99,linux
1473840,One Circle,game,"One Circle is a minimalist puzzle game about putting balls of the same color together. Find the right moves to solve the proposed challenges, and challenge your mind more and more.",r3nsen,r3nsen,"11 Dec, 2020",Indie,Single-player,English,No,0,USD,1.99,windows
1473850,Golems TD,game,Golems TD is a tower defence where you can design your own minions and control your hero in 3rd person. Each map consists of 2 teams fighting each other. Sending or destroying golems earns you resources. First team that will manage to push through defence wins.,Matouš Lörinc,Matouš Lörinc,"9 Dec, 2020",Casual,Single-player,English,No,0,USD,9.99,windows
1473860,Untale: King of Revinia Soundtrack,music,"Atmospheric, mysterious and charming music from Untale: King of Revinia.",MonumentPointStudio,MonumentPointStudio,"11 Feb, 2021",Strategy,Local Multi-Player,English,No,0,USD,1.99,windows
1473870,Hell Loop,game,"&quot;Help! Sinners are escaping from hell! Quickly, kill them all! Click on them, place spikes on the ground, let them walk through fire, shoot them with huge arrows!&quot; Hell Loop is like Lemmings, but you are the hell manager and your goal is to kill them all.",LogLog Games,LogLog Games,"23 Dec, 2020",Action,Multi-player,English,No,0,USD,2.99,mac
1473940,MultiVerse,game,A Multiplayer game,Hero Studio,Hero Studio,"19 Mar, 2022",Indie,Local Multi-Player,English,Si,0,,0.00,windows
1473900,Zealot,game,"Zealot is a challenging top-down action adventure which takes place in an unforgiving land inspired by Slavic religion and folklore. Take on ungodly deities, forge weapons from ages past, and uncover long lost relics in your mission to reinstate the one true faith.",Prime Cut Games,Prime Cut Games,Coming soon,Indie,Single-player,English,No,0,Coming soon,Coming soon,mac
1473880,The Humbling of a Holy Maiden,game,"The Tree of Life is dead and withered, and the kingdom's Holy Maiden longs to be disgraced. You have come from another world to teach her what it means to love. Witness the Holy Maiden's transformation as she descends into sweet corruption!",Night-time Sheep,Love Lab R18,"10 Dec, 2021",Action,Multi-player,English,No,0,USD,9.99,mac
1473920,Hentai it's my life,game,"Hentai it's my life is a casual puzzle game, you need to move parts of the image to restore the drawing.",Boom Team,Boom Team,"25 Dec, 2020",Action,Multi-player,English,No,0,USD,0.99,mac
1473990,Princess Farmer Demo,demo,"Princess Farmer is a charming story meets match-3 gameplay, with a host of adorable characters to befriend, mysteries to solve, and fashion to collect. Make combos! Smash rocks! Win hearts!",Samobee Games,Whitethorn Games,"3 Feb, 2021",Casual,Local Multi-Player,English,Si,0,,0.00,linux
